unit,mean,std,n,individual_ratings
ABJECT,2.5172,0.8558,29,"[2, 3, 4, 3, 3, 4, 2, 1, 3, 2, 3, 3, 3, 2, 2, 3, 4, 2, 3, 3, 1, 1, 3, 3, 2, 2, 3, 2, 1]"
ABROAD,3.8,0.6532,30,"[4, 4, 4, 4, 3, 4, 3, 3, 5, 3, 5, 4, 4, 3, 3, 5, 4, 4, 5, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4]"
ACCURACY,4.2,0.6532,30,"[4, 4, 4, 4, 3, 4, 4, 3, 4, 5, 5, 4, 5, 4, 4, 5, 5, 3, 5, 5, 4, 4, 5, 4, 5, 4, 3, 4, 4, 5]"
ADDITION,3.5,0.6191,30,"[4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4, 5, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4]"
ADORABLE,4.5667,0.6155,30,"[4, 5, 5, 4, 4, 4, 3, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
AHAB,3.0,0.4472,30,"[3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3]"
ALASKA,3.6,0.8794,30,"[4, 5, 5, 3, 3, 4, 3, 3, 4, 3, 3, 4, 5, 4, 4, 5, 4, 3, 1, 4, 3, 3, 3, 3, 5, 3, 3, 4, 3, 4]"
ALBANIAN,3.1786,0.5381,28,"[3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3]"
ALBUQUERQUE,3.3448,0.8418,29,"[4, 3, 3, 3, 3, 3, 4, 3, 2, 3, 3, 4, 5, 3, 5, 2, 2, 5, 3, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3]"
ALIBIS,2.9655,0.6149,29,"[2, 3, 3, 2, 3, 3, 3, 2, 4, 3, 2, 3, 4, 3, 4, 3, 3, 4, 3, 4, 2, 3, 3, 3, 3, 3, 2, 3, 3]"
ALZHEIMER,1.2667,0.5121,30,"[2, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
ANONYMOUS,3.1333,0.5617,30,"[4, 3, 3, 2, 3, 3, 4, 3, 4, 4, 5, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
ANTOINETTE,3.3,0.8226,30,"[4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 1, 4, 5, 3, 3, 5, 3, 3, 4, 3, 3, 5, 3, 3, 3, 3, 3, 2, 3, 3]"
APTITUDE,3.7333,0.6799,30,"[4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 3, 5, 4, 3, 4, 4, 4, 3, 5, 4, 4, 5, 3, 2, 4, 3]"
BABY,4.3333,0.8692,30,"[5, 5, 4, 2, 4, 2, 3, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4]"
BAG,3.3333,0.6498,30,"[4, 3, 3, 3, 3, 3, 2, 3, 4, 3, 5, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 4]"
BARBARIANS,1.8621,0.8189,29,"[2, 2, 3, 4, 2, 2, 3, 3, 2, 2, 1, 1, 3, 2, 1, 1, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1]"
